Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Дом №40-04Z: архитектура и основные данные,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04Z.jpg,Проекты домов 120–150 м²,,"Проект дома №40-04Z. Карточка использует настоящий фасад проекта, опубликованный на catalog-plans.ru. Карточка позволяет сразу увидеть проект, номер и базовые параметры дома. Параметры проекта: площадь 132,44 м²; 2 этажа; габариты 9.5×10 м; материал — газобетон; стиль — европейский. Пин рассчитан на быстрый переход к полному описанию проекта на сайте. Дальше на сайте доступен полный набор данных: планы, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04Z?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5543_40-04z_compare&utm_term=proekty-domov-120-150-m,,"проект дома 40-04Z, проект №40-04Z, Проекты домов 120–150 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 132,44 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект дома №40-04ZC: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04ZC.jpg,Двухэтажные проекты домов,,"Проект дома №40-04ZC. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 154,05 м²; 2 этажа; габариты 9.5×10 м; материал — газобетон; стиль — европейский. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04ZC?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5544_40-04zc_site&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 40-04ZC, проект №40-04ZC, Двухэтажные проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 154,05 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04ZEDK2L: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04ZEDK2L.jpg,Проекты домов 2 этажа,,"Проект дома №40-04ZEDK2L. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 204,1 м²; 2 этажа; габариты 10.5×9.87 м; материал — кирпич; стиль — европейский. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/40-04ZEDK2L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5545_40-04zedk2l_facades&utm_term=proekty-domov-2-etazha,,"проект дома 40-04ZEDK2L, проект №40-04ZEDK2L, Проекты домов 2 этажа, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 204,1 м², дом кирпич, дом европейский, catalog-plans.ru"
"Проект №40-04ZN: фасады, размеры и планировка",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04ZN.jpg,Проекты домов из газобетона,,"Проект дома №40-04ZN. На обложке — исходное изображение этого дома с сайта catalog-plans.ru. Карточка ускоряет сравнение домов между собой и облегчает выбор в ленте Pinterest. Параметры проекта: площадь 135,06 м²; 2 этажа; габариты 9.5×10 м; материал — газобетон; стиль — европейский. Для выбора дома под постоянное проживание такой формат очень удобен. В карточке проекта на сайте вы увидите планы, фасады, размеры и другие детали.",https://catalog-plans.ru/catalog/40-04ZN?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5546_40-04zn_estimate&utm_term=proekty-domov-iz-gazobetona,,"проект дома 40-04ZN, проект №40-04ZN, Проекты домов из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 135,06 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-61MAGL: открыть характеристики проекта,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-61MAGL.jpg,Проекты домов из газоблока,,"Проект дома №40-61MAGL. Для карточки взята реальная визуализация проекта с catalog-plans.ru. Так проще понять, стоит ли открывать проект подробнее и сохранять его в доску. Параметры проекта: площадь 351,56 м²; 2 этажа; габариты 13.1×27.75 м; материал — газобетон; стиль — современный. Так проще не потерять интересный проект и вернуться к нему позже. После перехода откроются планы этажей, архитектурные виды и основные параметры проекта.",https://catalog-plans.ru/catalog/40-61MAGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5547_40-61magl_changes&utm_term=proekty-domov-iz-gazobloka,,"проект дома 40-61MAGL, проект №40-61MAGL, Проекты домов из газоблока, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 351,56 м², дом газобетон, дом современный, catalog-plans.ru"
Проект дома №40-86DADL: оценить метраж и фасад,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-86DADL.jpg,Проекты домов в стиле хай-тек,,"Проект дома №40-86DADL. Пин собран на основе канонического изображения дома из catalog-plans.ru. Пин даёт быстрый предпросмотр фасада и ключевых характеристик проекта. Параметры проекта: площадь 263,27 м²; 2 этажа; габариты 10.52×18.93 м; материал — газобетон; стиль — хай-тек. Если подбираете дом под участок, такой предпросмотр экономит время. На сайте можно проверить планировку, размеры, фасады и дополнительные характеристики.",https://catalog-plans.ru/catalog/40-86DADL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5548_40-86dadl_plans&utm_term=proekty-domov-v-stile-hay-tek,,"проект дома 40-86DADL, проект №40-86DADL, Проекты домов в стиле хай-тек, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 263,27 м², дом газобетон, дом хай-тек, catalog-plans.ru"
Дом №40-94: сравнить внешний вид и параметры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-94.jpg,Дома хай-тек проекты,,"Проект дома №40-94. На превью размещён реальный фасад проекта из карточки дома на catalog-plans.ru. Это хороший способ быстро оценить архитектурный образ и основные цифры проекта. Параметры проекта: площадь 254,21 м²; 2 этажа; габариты 18.04×20.6 м; материал — кирпич; стиль — хай-тек. Карточка хорошо работает для быстрого визуального сравнения проектов. Карточка проекта содержит планы, фасады, параметры и сведения для осознанного выбора.",https://catalog-plans.ru/catalog/40-94?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5549_40-94_compare&utm_term=doma-hay-tek-proekty,,"проект дома 40-94, проект №40-94, Дома хай-тек проекты, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 254,21 м², дом кирпич, дом хай-тек, catalog-plans.ru"
Проект №45-08EDABGL: проверить размеры дома,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-08EDABGL.jpg,Проекты частных домов с планировкой,,"Проект дома №45-08EDABGL. В основе этого пина лежит исходная визуализация дома с catalog-plans.ru. Такой формат делает выбор проекта более наглядным и быстрым. Параметры проекта: площадь 148,3 м²; 1 этаж; габариты 12×16 м; материал — газобетон; стиль — современный. Это удобно, когда вы хотите видеть и фасад, и основные цифры в одном кадре. На странице проекта вы сможете сравнить параметры, посмотреть планы и оценить фасады.",https://catalog-plans.ru/catalog/45-08EDABGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5550_45-08edabgl_site&utm_term=proekty-chastnyh-domov-s-planirovkoy,,"проект дома 45-08EDABGL, проект №45-08EDABGL, Проекты частных домов с планировкой, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 148,3 м², дом газобетон, дом современный, catalog-plans.ru"
Дом №45-08EDAGL: архитектура и основные данные,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-08EDAGL.jpg,Проекты домов с размерами,,"Проект дома №45-08EDAGL. Карточка использует настоящий фасад проекта, опубликованный на catalog-plans.ru. Карточка позволяет сразу увидеть проект, номер и базовые параметры дома. Параметры проекта: площадь 248,32 м²; 1 этаж; габариты 17.305×24.5 м; материал — газобетон; стиль — современный. Пин рассчитан на быстрый переход к полному описанию проекта на сайте. Дальше на сайте доступен полный набор данных: планы, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/45-08EDAGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5551_45-08edagl_facades&utm_term=proekty-domov-s-razmerami,,"проект дома 45-08EDAGL, проект №45-08EDAGL, Проекты домов с размерами, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 248,32 м², дом газобетон, дом современный, catalog-plans.ru"
"Проект дома №45-16G: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-16G.jpg,Планы домов и коттеджей,,"Проект дома №45-16G. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 195,26 м²; 2 этажа; габариты 11.49×16.99 м; материал — газобетон; стиль — современный. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/45-16G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5552_45-16g_estimate&utm_term=plany-domov-i-kottedzhey,,"проект дома 45-16G, проект №45-16G, Планы домов и коттеджей, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 195,26 м², дом газобетон, дом современный, catalog-plans.ru"
Дом №45-64HBGL: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-64HBGL.jpg,Красивые фасады частных домов,,"Проект дома №45-64HBGL. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 325,75 м²; 2 этажа; габариты 16×16.3 м; материал — газобетон; стиль — стиль Райта. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/45-64HBGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5553_45-64hbgl_changes&utm_term=krasivye-fasady-chastnyh-domov,,"проект дома 45-64HBGL, проект №45-64HBGL, Красивые фасады частных домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 325,75 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
"Проект №45-64NHATGL: фасады, размеры и планировка",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-64NHATGL.jpg,Готовые проекты коттеджей,,"Проект дома №45-64NHATGL. На обложке — исходное изображение этого дома с сайта catalog-plans.ru. Карточка ускоряет сравнение домов между собой и облегчает выбор в ленте Pinterest. Параметры проекта: площадь 204,85 м²; 2 этажа; габариты 12.6×15.51 м; материал — газобетон; стиль — стиль Райта. Для выбора дома под постоянное проживание такой формат очень удобен. В карточке проекта на сайте вы увидите планы, фасады, размеры и другие детали.",https://catalog-plans.ru/catalog/45-64NHATGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5554_45-64nhatgl_plans&utm_term=gotovye-proekty-kottedzhey,,"проект дома 45-64NHATGL, проект №45-64NHATGL, Готовые проекты коттеджей, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 204,85 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Дом №45-64NHBFGL: открыть характеристики проекта,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-64NHBFGL.jpg,Проекты загородных домов,,"Проект дома №45-64NHBFGL. Для карточки взята реальная визуализация проекта с catalog-plans.ru. Так проще понять, стоит ли открывать проект подробнее и сохранять его в доску. Параметры проекта: площадь 320,94 м²; 2 этажа; габариты 16.6×17.14 м; материал — газобетон; стиль — стиль Райта. Так проще не потерять интересный проект и вернуться к нему позже. После перехода откроются планы этажей, архитектурные виды и основные параметры проекта.",https://catalog-plans.ru/catalog/45-64NHBFGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5555_45-64nhbfgl_compare&utm_term=proekty-zagorodnyh-domov,,"проект дома 45-64NHBFGL, проект №45-64NHBFGL, Проекты загородных домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 320,94 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Проект дома №45-64NKL: оценить метраж и фасад,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-64NKL.jpg,Проекты домов для постоянного проживания,,"Проект дома №45-64NKL. Пин собран на основе канонического изображения дома из catalog-plans.ru. Пин даёт быстрый предпросмотр фасада и ключевых характеристик проекта. Параметры проекта: площадь 244,93 м²; 2 этажа; габариты 12.74×14.24 м; материал — кирпич; стиль — стиль Райта. Если подбираете дом под участок, такой предпросмотр экономит время. На сайте можно проверить планировку, размеры, фасады и дополнительные характеристики.",https://catalog-plans.ru/catalog/45-64NKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5556_45-64nkl_site&utm_term=proekty-domov-dlya-postoyannogo-prozhivaniya,,"проект дома 45-64NKL, проект №45-64NKL, Проекты домов для постоянного проживания, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 244,93 м², дом кирпич, дом стиль Райта, catalog-plans.ru"
Дом №45-64ZAGL: сравнить внешний вид и параметры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-64ZAGL.jpg,Проекты домов 200–300 м²,,"Проект дома №45-64ZAGL. На превью размещён реальный фасад проекта из карточки дома на catalog-plans.ru. Это хороший способ быстро оценить архитектурный образ и основные цифры проекта. Параметры проекта: площадь 247,29 м²; 2 этажа; габариты 11.35×21.4 м; материал — газобетон; стиль — стиль Райта. Карточка хорошо работает для быстрого визуального сравнения проектов. Карточка проекта содержит планы, фасады, параметры и сведения для осознанного выбора.",https://catalog-plans.ru/catalog/45-64ZAGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5557_45-64zagl_facades&utm_term=proekty-domov-200-300-m,,"проект дома 45-64ZAGL, проект №45-64ZAGL, Проекты домов 200–300 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 247,29 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Проект №45-64ZGL: проверить размеры дома,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-64ZGL.jpg,Большие частные дома,,"Проект дома №45-64ZGL. В основе этого пина лежит исходная визуализация дома с catalog-plans.ru. Такой формат делает выбор проекта более наглядным и быстрым. Параметры проекта: площадь 344,92 м²; 2 этажа; габариты 13.8×19.9 м; материал — газобетон; стиль — стиль Райта. Это удобно, когда вы хотите видеть и фасад, и основные цифры в одном кадре. На странице проекта вы сможете сравнить параметры, посмотреть планы и оценить фасады.",https://catalog-plans.ru/catalog/45-64ZGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5558_45-64zgl_estimate&utm_term=bolshie-chastnye-doma,,"проект дома 45-64ZGL, проект №45-64ZGL, Большие частные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 344,92 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Дом №45-92: архитектура и основные данные,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/45-92.jpg,Двухэтажные проекты домов,,"Проект дома №45-92. Карточка использует настоящий фасад проекта, опубликованный на catalog-plans.ru. Карточка позволяет сразу увидеть проект, номер и базовые параметры дома. Параметры проекта: площадь 205,41 м²; 2 этажа; габариты 11.54×14.28 м; материал — кирпич; стиль — скандинавский. Пин рассчитан на быстрый переход к полному описанию проекта на сайте. Дальше на сайте доступен полный набор данных: планы, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/45-92?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5559_45-92_changes&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 45-92, проект №45-92, Двухэтажные проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 205,41 м², дом кирпич, дом скандинавский, catalog-plans.ru"
"Проект дома №46-06EK1: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-06EK1.jpg,Проекты домов 2 этажа,,"Проект дома №46-06EK1. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 581,68 м²; 2 этажа; габариты 20.23×10.77 м; материал — кирпич; стиль — хай-тек. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/46-06EK1?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5560_46-06ek1_plans&utm_term=proekty-domov-2-etazha,,"проект дома 46-06EK1, проект №46-06EK1, Проекты домов 2 этажа, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 581,68 м², дом кирпич, дом хай-тек, catalog-plans.ru"
Дом №46-08TABK1L: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-08TABK1L.jpg,Проекты кирпичных домов,,"Проект дома №46-08TABK1L. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 295,07 м²; 2 этажа; габариты 17.06×13.67 м; материал — кирпич; стиль — стиль Райта. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/46-08TABK1L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5561_46-08tabk1l_compare&utm_term=proekty-kirpichnyh-domov,,"проект дома 46-08TABK1L, проект №46-08TABK1L, Проекты кирпичных домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 295,07 м², дом кирпич, дом стиль Райта, catalog-plans.ru"
"Проект №46-08ZK2L: фасады, размеры и планировка",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-08ZK2L.jpg,Проекты домов из кирпича,,"Проект дома №46-08ZK2L. На обложке — исходное изображение этого дома с сайта catalog-plans.ru. Карточка ускоряет сравнение домов между собой и облегчает выбор в ленте Pinterest. Параметры проекта: площадь 383,19 м²; 2 этажа; габариты 14.55×22.96 м; материал — кирпич; стиль — стиль Райта. Для выбора дома под постоянное проживание такой формат очень удобен. В карточке проекта на сайте вы увидите планы, фасады, размеры и другие детали.",https://catalog-plans.ru/catalog/46-08ZK2L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5562_46-08zk2l_site&utm_term=proekty-domov-iz-kirpicha,,"проект дома 46-08ZK2L, проект №46-08ZK2L, Проекты домов из кирпича, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 383,19 м², дом кирпич, дом стиль Райта, catalog-plans.ru"
Дом №46-09DEABG: открыть характеристики проекта,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-09DEABG.jpg,Проекты домов в стиле Райта,,"Проект дома №46-09DEABG. Для карточки взята реальная визуализация проекта с catalog-plans.ru. Так проще понять, стоит ли открывать проект подробнее и сохранять его в доску. Параметры проекта: площадь 170,11 м²; 1 этаж; габариты 15.105×16.88 м; материал — газобетон; стиль — стиль Райта. Так проще не потерять интересный проект и вернуться к нему позже. После перехода откроются планы этажей, архитектурные виды и основные параметры проекта.",https://catalog-plans.ru/catalog/46-09DEABG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5563_46-09deabg_facades&utm_term=proekty-domov-v-stile-rayta,,"проект дома 46-09DEABG, проект №46-09DEABG, Проекты домов в стиле Райта, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 170,11 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Проект дома №46-09DGML: оценить метраж и фасад,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-09DGML.jpg,Дома в стиле Райта,,"Проект дома №46-09DGML. Пин собран на основе канонического изображения дома из catalog-plans.ru. Пин даёт быстрый предпросмотр фасада и ключевых характеристик проекта. Параметры проекта: площадь 200,5 м²; 1 этаж; габариты 18.32×19.55 м; материал — монолитный каркас; стиль — стиль Райта. Если подбираете дом под участок, такой предпросмотр экономит время. На сайте можно проверить планировку, размеры, фасады и дополнительные характеристики.",https://catalog-plans.ru/catalog/46-09DGML?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5564_46-09dgml_estimate&utm_term=doma-v-stile-rayta,,"проект дома 46-09DGML, проект №46-09DGML, Дома в стиле Райта, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 200,5 м², дом монолитный каркас, дом стиль Райта, catalog-plans.ru"
Дом №46-09EAK1L: сравнить внешний вид и параметры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-09EAK1L.jpg,Проекты частных домов с планировкой,,"Проект дома №46-09EAK1L. На превью размещён реальный фасад проекта из карточки дома на catalog-plans.ru. Это хороший способ быстро оценить архитектурный образ и основные цифры проекта. Параметры проекта: площадь 161,83 м²; 1 этаж; габариты 14.47×18.32 м; материал — кирпич; стиль — стиль Райта. Карточка хорошо работает для быстрого визуального сравнения проектов. Карточка проекта содержит планы, фасады, параметры и сведения для осознанного выбора.",https://catalog-plans.ru/catalog/46-09EAK1L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5565_46-09eak1l_changes&utm_term=proekty-chastnyh-domov-s-planirovkoy,,"проект дома 46-09EAK1L, проект №46-09EAK1L, Проекты частных домов с планировкой, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 161,83 м², дом кирпич, дом стиль Райта, catalog-plans.ru"
Проект №46-09FEGL: проверить размеры дома,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-09FEGL.jpg,Проекты домов с размерами,,"Проект дома №46-09FEGL. В основе этого пина лежит исходная визуализация дома с catalog-plans.ru. Такой формат делает выбор проекта более наглядным и быстрым. Параметры проекта: площадь 242,46 м²; 1 этаж; габариты 11.06×14.82 м; материал — газобетон; стиль — стиль Райта. Это удобно, когда вы хотите видеть и фасад, и основные цифры в одном кадре. На странице проекта вы сможете сравнить параметры, посмотреть планы и оценить фасады.",https://catalog-plans.ru/catalog/46-09FEGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5566_46-09fegl_plans&utm_term=proekty-domov-s-razmerami,,"проект дома 46-09FEGL, проект №46-09FEGL, Проекты домов с размерами, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 242,46 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Дом №46-09GL: архитектура и основные данные,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-09GL.jpg,Планы домов и коттеджей,,"Проект дома №46-09GL. Карточка использует настоящий фасад проекта, опубликованный на catalog-plans.ru. Карточка позволяет сразу увидеть проект, номер и базовые параметры дома. Параметры проекта: площадь 150,83 м²; 1 этаж; габариты 14.57×18.52 м; материал — газобетон; стиль — стиль Райта. Пин рассчитан на быстрый переход к полному описанию проекта на сайте. Дальше на сайте доступен полный набор данных: планы, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/46-09GL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5567_46-09gl_compare&utm_term=plany-domov-i-kottedzhey,,"проект дома 46-09GL, проект №46-09GL, Планы домов и коттеджей, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 150,83 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
"Проект дома №46-09WGL: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-09WGL.jpg,Красивые фасады частных домов,,"Проект дома №46-09WGL. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 125,16 м²; 1 этаж; габариты 13.88×16.3 м; материал — газобетон; стиль — стиль Райта. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/46-09WGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5568_46-09wgl_site&utm_term=krasivye-fasady-chastnyh-domov,,"проект дома 46-09WGL, проект №46-09WGL, Красивые фасады частных домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 125,16 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Дом №46-22AGL: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/46-22AGL.jpg,Готовые проекты коттеджей,,"Проект дома №46-22AGL. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 121,7 м²; 1 этаж; габариты 11.52×14.02 м; материал — газобетон; стиль — современный. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/46-22AGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5569_46-22agl_facades&utm_term=gotovye-proekty-kottedzhey,,"проект дома 46-22AGL, проект №46-22AGL, Готовые проекты коттеджей, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 121,7 м², дом газобетон, дом современный, catalog-plans.ru"
